,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
446,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,d473ad10-c6b5-4872-9c46-45fead0144d7,na_cl_0,3f141f05-532b-478d-b38a-2ae07baadc88,da831b60-89ce-4c01-96f9-c9f8a4512aab,cd31956d-bef5-4112-9959-510170644e72,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVDZ.cd31956d-bef5-4112-9959-510170644e72.gz,36,86400,0.00159362,-621.589074729701,,True,True,False,0.24165558815002441,False,,,,,,,,,,,,,,,,,,,,True,False,-621.488268654853
455,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,d473ad10-c6b5-4872-9c46-45fead0144d7,na_cl_0,3f141f05-532b-478d-b38a-2ae07baadc88,a2f9649f-0f47-4a5d-a6a7-b0bebc848797,677d97ee-5a46-4d49-82d6-ca3fc98a59a7,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVQZ.677d97ee-5a46-4d49-82d6-ca3fc98a59a7.gz,118,86400,0.00159362,-621.7073899161356,,True,True,False,0.32341718673706055,False,,,,,,,,,,,,,,,,,,,,True,False,-621.6686236412523
464,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,d473ad10-c6b5-4872-9c46-45fead0144d7,na_cl_0,3f141f05-532b-478d-b38a-2ae07baadc88,01ec60f7-d38a-4c33-a498-659a388e10ee,444f3f27-904b-463f-b2f2-c92686c9637d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVTZ.444f3f27-904b-463f-b2f2-c92686c9637d.gz,68,86400,0.00159362,-621.6791687419825,,True,True,False,0.40653085708618164,False,,,,,,,,,,,,,,,,,,,,True,False,-621.609282837791
473,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,27fcdf19-74b3-4cca-9080-b8d565ad2476,c2_h2_0,0ca102a7-dad4-4d42-8c73-9acfa45378d7,2761e36e-f001-42af-8086-f507b5643ec8,5b507b3d-b6fc-4e13-9586-06113819d99f,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.c2_h2_cc-pVDZ.5b507b3d-b6fc-4e13-9586-06113819d99f.gz,38,86400,0.00159362,-77.11057384518455,,True,True,False,0.3404507637023926,False,,,,,,,,,,,,,,,,,,,,True,False,-76.4588688187457
482,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,27fcdf19-74b3-4cca-9080-b8d565ad2476,c2_h2_0,0ca102a7-dad4-4d42-8c73-9acfa45378d7,b1352b0c-aa96-4f58-a0e2-356d3c43c8a1,57793481-c847-4746-8241-ea949add5f87,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.c2_h2_cc-pVTZ.57793481-c847-4746-8241-ea949add5f87.gz,88,86400,0.00159362,-77.18881666659045,,True,True,False,1.4694225788116455,False,,,,,,,,,,,,,,,,,,,,True,False,-76.53122825183533
491,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,aaf5fa8e-c78e-4dee-9811-d9ce5b251eda,li_f_0,e48e7467-1fcd-478b-a599-f4ce881c57b9,80043b93-039c-4d5a-abcb-84b8f25f7abb,19cf5a4d-e90f-4ab1-a062-b20089724a63,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_f_cc-pVDZ.19cf5a4d-e90f-4ab1-a062-b20089724a63.gz,28,86400,0.00159362,-107.15554124510972,,True,True,False,0.1181328296661377,False,,,,,,,,,,,,,,,,,,,,True,False,-107.02716377768311
500,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,aaf5fa8e-c78e-4dee-9811-d9ce5b251eda,li_f_0,e48e7467-1fcd-478b-a599-f4ce881c57b9,0485949f-722c-49ee-a748-eec54801f021,2294b211-7a05-445e-810d-4c1706e1444c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_f_cc-pVQZ.2294b211-7a05-445e-810d-4c1706e1444c.gz,110,86400,0.00159362,-107.30032314741152,,True,True,False,0.710944414138794,False,,,,,,,,,,,,,,,,,,,,True,False,-107.23235407624124
509,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,aaf5fa8e-c78e-4dee-9811-d9ce5b251eda,li_f_0,e48e7467-1fcd-478b-a599-f4ce881c57b9,b80345ff-5df9-4fb3-86ab-0a25188b296d,c0df5db1-1bc0-40f5-9cff-6aa2867aba7c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_f_cc-pVTZ.c0df5db1-1bc0-40f5-9cff-6aa2867aba7c.gz,60,86400,0.00159362,-107.26376537769306,,True,True,False,0.21587467193603516,False,,,,,,,,,,,,,,,,,,,,True,False,-107.168152127961
518,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,6cc52ed0-9889-4f9c-a8bc-871227895d89,h2_c_o_0,25fd617b-8e7f-4422-9e97-cc3f6b0d3876,d58cb72b-e144-4164-aec0-309aaef6394c,d3d8851e-f3df-490c-975a-467933bd9fa1,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h2_c_o_cc-pVDZ.d3d8851e-f3df-490c-975a-467933bd9fa1.gz,38,86400,0.00159362,-114.2196776531971,,True,True,False,0.33682918548583984,False,,,,,,,,,,,,,,,,,,,,True,False,-113.55967887807661
527,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,6cc52ed0-9889-4f9c-a8bc-871227895d89,h2_c_o_0,25fd617b-8e7f-4422-9e97-cc3f6b0d3876,ed09e1bf-40f3-4bf0-b9c7-7bb1990c5cae,f1c78add-0e23-423a-bb96-f1370626aa47,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h2_c_o_cc-pVTZ.f1c78add-0e23-423a-bb96-f1370626aa47.gz,88,86400,0.00159362,-114.33491928834412,,True,True,False,0.1536543369293213,False,,,,,,,,,,,,,,,,,,,,True,False,-113.6194138707298
