,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
162,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,9630ec04-4cf0-48f9-af3d-3687d2769361,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,b86457a4-abf4-43c9-9c08-2397e95b7c0f,4c655f65-1899-469c-975a-a3caec750697,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_sto-3g_4c655f65-1899-469c-975a-a3caec750697.gz,30,172800,1.0,,,True,True,False,5143.16,False,,,,,,,,,,,,,,,,,,,,True,False,-64.37466100179492
171,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,7148b36a-0571-4a41-9239-19a97339f68a,96ff0e22-a3ab-49f3-aee9-9a1886cbf850,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_cc-pvdz_96ff0e22-a3ab-49f3-aee9-9a1886cbf850.gz,108,172800,1.0,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
180,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,7c30c1e7-e867-4d2e-b346-f909161a5567,Cr_1,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,b24b71b9-971a-4aca-9fc0-7198d16ca9ed,69a1826c-1bee-4855-8f5f-5df29035bfca,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cr1_vdz.69a1826c-1bee-4855-8f5f-5df29035bfca.gz,54,86400,1.0,-86.37241,,True,True,True,993.186,False,,,,,,,,,,,,,,,,,,,,True,True,-86.32156875067517
189,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,7c30c1e7-e867-4d2e-b346-f909161a5567,Cr_1,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,e604a906-55fa-4b3f-bf17-c24a30312b84,4e3649dd-9050-4acc-93f6-a09c962e89d7,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cr1_vqz.4e3649dd-9050-4acc-93f6-a09c962e89d7.gz,135,86400,1.0,-86.51867,,True,True,True,16406.756,False,,,,,,,,,,,,,,,,,,,,True,True,-86.46610879817364
198,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,Cr_1,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,f4b120e9-acd0-4c7c-89e2-cc082f52f5cf,efaceb68-6fae-491a-bb90-1e3e3463f010,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cr1_vtz.efaceb68-6fae-491a-bb90-1e3e3463f010.gz,88,86400,1.0,-86.47298,,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
207,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,e79df2ae-61cc-4481-8023-2aff8b7dddc1,Ti_1,9823b0dd-87b6-4793-9741-e8cbcf2b50c0,2cd76a23-0514-458a-b588-94e2d10564d3,760e312c-9982-486d-b50e-d9acb003aedc,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Ti1_vdz.760e312c-9982-486d-b50e-d9acb003aedc.gz,54,86400,1.0,-57.63401999999999,,True,True,True,600.234,False,,,,,,,,,,,,,,,,,,,,True,True,-57.634013854790666
216,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,e79df2ae-61cc-4481-8023-2aff8b7dddc1,Ti_1,9823b0dd-87b6-4793-9741-e8cbcf2b50c0,c7049602-5460-4277-8148-d9c66012f8f0,2ae865cc-f4c6-4e9f-903c-c8221e06b7a9,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Ti1_vtz.2ae865cc-f4c6-4e9f-903c-c8221e06b7a9.gz,88,86400,1.0,-57.70424000000001,,True,True,True,5081.3730000000005,False,,,,,,,,,,,,,,,,,,,,True,True,-57.70422895374306
225,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,2ee620da-67cc-441b-af36-ac148c0fe971,V_0,a14a1e28-71c5-4e23-bf6e-dd9662a6df58,0f0c8766-4bf5-4c1e-991a-9dafe9bc8f27,950e31e2-142f-480b-b0d1-174381bdb64a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.V0_vdz.950e31e2-142f-480b-b0d1-174381bdb64a.gz,54,86400,1.0,-71.07767,,True,True,True,6537.5689999999995,False,,,,,,,,,,,,,,,,,,,,True,True,-71.07762963811888
234,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,V_0,a14a1e28-71c5-4e23-bf6e-dd9662a6df58,338f4b6e-775c-413b-a508-9132659ebbc3,d85e35e4-fe5c-4ea9-a5aa-d0273321a1dd,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.V0_vtz.d85e35e4-fe5c-4ea9-a5aa-d0273321a1dd.gz,88,86400,1.0,-71.16898,,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
243,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,CuO_0,886ad5bf-d487-48c8-b08c-c9f82b84ed5d,37e1f17b-384d-423d-860b-c75b9dcff951,da86aaff-3ca6-4d32-8da2-e1acfe6c31ab,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.CuO_vdz.da86aaff-3ca6-4d32-8da2-e1acfe6c31ab.gz,76,86400,1.0,-213.12303,,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
252,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,25bbe83a-996d-4f0c-b0c6-f7d200d9e44d,TiO_0,0b91f99e-8de5-415d-a78e-f80e45d621ca,84aa9e2d-18e6-4689-9274-28e89ef44080,98719f34-8ba8-4557-a9fd-b28a84fe7dd1,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.TiO_vdz.98719f34-8ba8-4557-a9fd-b28a84fe7dd1.gz,76,86400,1.0,-73.90375,,True,True,True,9814.581,False,,,,,,,,,,,,,,,,,,,,True,True,-73.90357179302762
261,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,d9c316e8-526d-45ac-b951-c94ff1a3850b,na2_0,edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76,4fb7e994-8e7a-4acd-86d4-bb52db824cfc,4ceb8edc-937e-4cb6-9e42-51b6760b2557,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na2_cc-pVDZ.4ceb8edc-937e-4cb6-9e42-51b6760b2557.gz,36,86400,1.0,-323.7308349290517,,True,True,True,10.82,False,,,,,,,,,,,,,,,,,,,,True,True,-323.71110910063555
270,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,d9c316e8-526d-45ac-b951-c94ff1a3850b,na2_0,edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76,f96de7fe-5c88-4083-8c48-72bc094cccfd,4d93ba0f-4ad6-4107-b495-9284d226e13d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na2_cc-pVQZ.4d93ba0f-4ad6-4107-b495-9284d226e13d.gz,118,86400,1.0,-323.74370271297147,,True,True,True,1986.2900000000002,False,,,,,,,,,,,,,,,,,,,,True,True,-323.7449202032483
279,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,d9c316e8-526d-45ac-b951-c94ff1a3850b,na2_0,edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76,620e9ff4-07bf-4767-9237-d39aa659b8e5,c288da42-cf53-4437-a310-24bf3e35e008,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na2_cc-pVTZ.c288da42-cf53-4437-a310-24bf3e35e008.gz,68,86400,1.0,-323.7421869969087,,True,True,True,178.265,False,,,,,,,,,,,,,,,,,,,,True,True,-323.74286408624425
288,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,de3ea361-c2d3-4ab6-add4-ccd43cea6aa8,68af0b80-3d27-4aba-84f9-bcdd30a9255b,sftp://sftp.l3harris.com/gsee/fcidump.59_5_16_noncan_0.2_new.68af0b80-3d27-4aba-84f9-bcdd30a9255b.gz,14,172800,1.0,-1321.593612370238,2124-03-20T20:48:21.795324+00:00,True,True,True,33.544,False,,,,,,,,,,,,,,,,,,,,True,True,-1321.5935904819626
297,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,6c39d3a7-c71a-4049-a8c7-3a3a4b61d8da,28a7820f-63fe-4920-aeec-a7ffe7e55d83,sftp://sftp.l3harris.com/gsee/fcidump.60_5_16_noncan_0.2_new.28a7820f-63fe-4920-aeec-a7ffe7e55d83.gz,30,172800,1.0,-1322.107039844683,2124-03-20T20:48:21.795324+00:00,True,True,True,916.138,False,,,,,,,,,,,,,,,,,,,,True,True,-1322.1070221425202
306,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,1ade03f3-06b1-4e95-b271-fea5a6343829,f738fcd6-7ddc-4d70-8ff9-4019e3718b04,sftp://sftp.l3harris.com/gsee/fcidump.61_3_15_af_noncan_0.2_new.f738fcd6-7ddc-4d70-8ff9-4019e3718b04.gz,14,172800,1.0,-1322.582234109127,2124-03-20T20:48:21.795324+00:00,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
315,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,ff0da1e2-2c76-4589-aefa-c13bb1a1ef8f,6e2bf415-6a69-4b36-ba0f-780a11cb7c0b,sftp://sftp.l3harris.com/gsee/fcidump.62_3_15_af_noncan_0.2_new.6e2bf415-6a69-4b36-ba0f-780a11cb7c0b.gz,31,172800,1.0,-1322.661962118007,2124-03-20T20:48:21.795324+00:00,True,True,True,344.61199999999997,False,,,,,,,,,,,,,,,,,,,,True,True,-1322.6618938010715
324,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,a9c90f98-6557-44d2-9ca0-0c9122f4080c,027490ba-34f9-4340-89ab-27fd110d2821,sftp://sftp.l3harris.com/gsee/fcidump.63_5_15_af_ts_noncan_0.2_new.027490ba-34f9-4340-89ab-27fd110d2821.gz,14,172800,1.0,-1322.594438035404,2124-03-20T20:48:21.795324+00:00,True,True,True,103.968,False,,,,,,,,,,,,,,,,,,,,True,True,-1322.5943560135763
333,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,a16168e2-98cd-430d-a180-84f64b4d5e75,bae2da57-6a69-483e-95bc-b77f72ebfba8,sftp://sftp.l3harris.com/gsee/fcidump.64_5_15_af_ts_noncan_0.2_new.bae2da57-6a69-483e-95bc-b77f72ebfba8.gz,31,172800,1.0,-1322.651998080473,2124-03-20T20:48:21.795324+00:00,True,True,True,733.7560000000001,False,,,,,,,,,,,,,,,,,,,,True,True,-1322.6519838133954
342,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,475c5b73-28ab-4667-a9e6-51e6d301a571,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,590c2f0b-964b-4d09-96ad-101a9be59cab,72343006-774e-4192-b481-fa840ed25573,sftp://sftp.l3harris.com/gsee/fcidump.65_5_15_af_noncan_0.2_new.72343006-774e-4192-b481-fa840ed25573.gz,14,172800,1.0,-1322.55739550674,2124-03-20T20:48:21.795324+00:00,True,True,True,30.610999999999997,False,,,,,,,,,,,,,,,,,,,,True,True,-1322.557296887876
351,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,,mn_mono,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,6e617348-d0b3-4b6d-9923-ea54ba5cf751,ea55abec-8253-445d-85fa-914948b5e5a5,sftp://sftp.l3harris.com/gsee/fcidump.66_5_15_af_noncan_0.2_new.ea55abec-8253-445d-85fa-914948b5e5a5.gz,31,172800,1.0,-1322.65692896071,2124-03-20T20:48:21.795324+00:00,False,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,
